impl,np,road_length,density,repetition,wall_time_ms,avg_velocity
traffic_mpi,6,500000,0.50,3,1188.096,0.988493
traffic_mpi_opt,6,500000,0.50,3,1018.308,0.988809
traffic_mpi,6,2000000,0.50,3,2894.442,0.990184
traffic_mpi_opt,6,2000000,0.50,3,1411.383,0.990663
traffic_mpi,6,5000000,0.50,3,6416.601,0.990640
traffic_mpi_opt,6,5000000,0.50,3,2572.167,0.990792
traffic_mpi,6,10000000,0.50,3,12422.600,0.990046
traffic_mpi_opt,6,10000000,0.50,3,4620.583,0.990223
traffic_mpi_opt,2,20000000,0.10,3,25102.139,1.000000
traffic_mpi_opt,2,20000000,0.30,3,25168.654,1.000000
traffic_mpi_opt,2,20000000,0.50,3,25636.227,0.990203
traffic_mpi_opt,2,20000000,0.70,3,25557.092,0.428537
traffic_mpi_opt,2,20000000,0.90,3,25364.760,0.111045
traffic_mpi_opt,3,20000000,0.10,3,17073.624,1.000000
traffic_mpi_opt,3,20000000,0.30,3,17072.579,1.000000
traffic_mpi_opt,3,20000000,0.50,3,17139.294,0.990085
traffic_mpi_opt,3,20000000,0.70,3,17065.408,0.428384
traffic_mpi_opt,3,20000000,0.90,3,17026.509,0.111213
traffic_mpi_opt,4,20000000,0.10,3,12985.773,1.000000
traffic_mpi_opt,4,20000000,0.30,3,12883.954,1.000000
traffic_mpi_opt,4,20000000,0.50,3,12804.971,0.990561
traffic_mpi_opt,4,20000000,0.70,3,12882.268,0.428489
traffic_mpi_opt,4,20000000,0.90,3,12836.783,0.111260
traffic_mpi,2,8000,0.50,4,27.474,0.999509
traffic_mpi_opt,2,8000,0.50,4,10.796,0.999509
traffic_mpi,2,64000,0.50,4,220.935,0.992362
traffic_mpi_opt,2,64000,0.50,4,79.506,0.982713
traffic_mpi,2,500000,0.50,4,1733.215,0.991521
traffic_mpi_opt,2,500000,0.50,4,630.080,0.988981
traffic_mpi,2,2000000,0.50,4,6884.214,0.991073
traffic_mpi_opt,2,2000000,0.50,4,2612.930,0.989073
traffic_mpi,2,5000000,0.50,4,17250.233,0.990453
traffic_mpi_opt,2,5000000,0.50,4,6420.172,0.990010
traffic_mpi,2,10000000,0.50,4,34853.386,0.990064
traffic_mpi_opt,2,10000000,0.50,4,12676.161,0.989770
traffic_mpi,3,8000,0.50,4,931.781,0.994562
traffic_mpi_opt,3,8000,0.50,4,930.703,0.964759
traffic_mpi,3,64000,0.50,4,926.408,0.985049
traffic_mpi_opt,3,64000,0.50,4,936.430,0.986787
traffic_mpi,3,500000,0.50,4,1349.532,0.988912
traffic_mpi_opt,3,500000,0.50,4,932.030,0.987444
traffic_mpi,3,2000000,0.50,4,4614.399,0.990748
traffic_mpi_opt,3,2000000,0.50,4,2130.837,0.989954
traffic_mpi,3,5000000,0.50,4,11678.195,0.990182
traffic_mpi_opt,3,5000000,0.50,4,4692.417,0.990537
traffic_mpi,3,10000000,0.50,4,23220.531,0.989518
traffic_mpi_opt,3,10000000,0.50,4,8753.832,0.989565
traffic_mpi,4,8000,0.50,4,943.884,0.983737
traffic_mpi_opt,4,8000,0.50,4,951.531,0.985028
traffic_mpi,4,64000,0.50,4,936.515,0.984360
traffic_mpi_opt,4,64000,0.50,4,949.934,0.980998
traffic_mpi,4,500000,0.50,4,1373.236,0.988911
traffic_mpi_opt,4,500000,0.50,4,946.034,0.986447
traffic_mpi,4,2000000,0.50,4,4066.293,0.989780
traffic_mpi_opt,4,2000000,0.50,4,1743.324,0.988376
traffic_mpi,4,5000000,0.50,4,9476.973,0.990768
traffic_mpi_opt,4,5000000,0.50,4,3610.715,0.989554
traffic_mpi,4,10000000,0.50,4,18495.412,0.990328
traffic_mpi_opt,4,10000000,0.50,4,6906.881,0.990076
traffic_mpi,5,8000,0.50,4,1005.551,0.977438
traffic_mpi_opt,5,8000,0.50,4,1002.788,0.992207
traffic_mpi,5,64000,0.50,4,973.076,0.985527
traffic_mpi_opt,5,64000,0.50,4,980.366,0.986452
traffic_mpi,5,500000,0.50,4,1334.114,0.988471
traffic_mpi_opt,5,500000,0.50,4,1045.298,0.988438
traffic_mpi,5,2000000,0.50,4,3501.916,0.990804
traffic_mpi_opt,5,2000000,0.50,4,1607.956,0.989311
traffic_mpi,5,5000000,0.50,4,7807.891,0.990298
traffic_mpi_opt,5,5000000,0.50,4,3061.403,0.989901
traffic_mpi,5,10000000,0.50,4,15022.134,0.990426
traffic_mpi_opt,5,10000000,0.50,4,5469.019,0.989941
traffic_mpi,6,8000,0.50,4,974.189,0.954720
traffic_mpi_opt,6,8000,0.50,4,985.923,0.985148
traffic_mpi,6,64000,0.50,4,971.482,0.990768
traffic_mpi_opt,6,64000,0.50,4,986.656,0.983299
traffic_mpi,6,500000,0.50,4,1199.331,0.989803
traffic_mpi_opt,6,500000,0.50,4,1017.797,0.988424
traffic_mpi,6,2000000,0.50,4,2918.229,0.990677
traffic_mpi_opt,6,2000000,0.50,4,1417.557,0.989134
traffic_mpi,6,5000000,0.50,4,6453.190,0.990194
traffic_mpi_opt,6,5000000,0.50,4,2592.506,0.990649
traffic_mpi,6,10000000,0.50,4,12395.798,0.990035
traffic_mpi_opt,6,10000000,0.50,4,4588.141,0.989947
traffic_mpi_opt,2,20000000,0.10,4,25178.526,1.000000
traffic_mpi_opt,2,20000000,0.30,4,25455.566,1.000000
traffic_mpi_opt,2,20000000,0.50,4,25319.644,0.989969
traffic_mpi_opt,2,20000000,0.70,4,25673.279,0.428418
traffic_mpi_opt,2,20000000,0.90,4,25624.433,0.111119
traffic_mpi_opt,3,20000000,0.10,4,17110.076,1.000000
traffic_mpi_opt,3,20000000,0.30,4,17212.309,1.000000
traffic_mpi_opt,3,20000000,0.50,4,17068.708,0.989648
traffic_mpi_opt,3,20000000,0.70,4,17204.350,0.428402
traffic_mpi_opt,3,20000000,0.90,4,17312.512,0.111071
traffic_mpi_opt,4,20000000,0.10,4,12810.326,1.000000
traffic_mpi_opt,4,20000000,0.30,4,12723.926,1.000000
traffic_mpi_opt,4,20000000,0.50,4,12858.067,0.989839
traffic_mpi_opt,4,20000000,0.70,4,12878.259,0.428472
traffic_mpi_opt,4,20000000,0.90,4,13043.446,0.111115
traffic_mpi,2,8000,0.50,5,27.617,0.984941
traffic_mpi_opt,2,8000,0.50,5,11.565,0.992044
traffic_mpi,2,64000,0.50,5,223.354,0.987702
traffic_mpi_opt,2,64000,0.50,5,80.952,0.986007
traffic_mpi,2,500000,0.50,5,1742.095,0.989668
traffic_mpi_opt,2,500000,0.50,5,658.044,0.987734
traffic_mpi,2,2000000,0.50,5,6935.596,0.991856
traffic_mpi_opt,2,2000000,0.50,5,2582.284,0.989048
traffic_mpi,2,5000000,0.50,5,17545.018,0.989528
traffic_mpi_opt,2,5000000,0.50,5,6400.832,0.991526
traffic_mpi,2,10000000,0.50,5,34577.984,0.989774
traffic_mpi_opt,2,10000000,0.50,5,12811.581,0.989178
traffic_mpi,3,8000,0.50,5,935.355,0.961866
traffic_mpi_opt,3,8000,0.50,5,937.409,0.983934
traffic_mpi,3,64000,0.50,5,926.551,0.991877
traffic_mpi_opt,3,64000,0.50,5,926.700,0.983962
traffic_mpi,3,500000,0.50,5,1371.628,0.989560
traffic_mpi_opt,3,500000,0.50,5,926.836,0.990126
traffic_mpi,3,2000000,0.50,5,4715.723,0.988177
traffic_mpi_opt,3,2000000,0.50,5,2136.838,0.989228
traffic_mpi,3,5000000,0.50,5,11671.024,0.990673
traffic_mpi_opt,3,5000000,0.50,5,4681.450,0.989530
traffic_mpi,3,10000000,0.50,5,23450.951,0.990568
traffic_mpi_opt,3,10000000,0.50,5,8785.324,0.989705
traffic_mpi,4,8000,0.50,5,936.011,0.965043
traffic_mpi_opt,4,8000,0.50,5,938.713,0.975898
traffic_mpi,4,64000,0.50,5,949.070,0.988694
traffic_mpi_opt,4,64000,0.50,5,935.784,0.976339
traffic_mpi,4,500000,0.50,5,1378.537,0.989658
traffic_mpi_opt,4,500000,0.50,5,954.882,0.988735
traffic_mpi,4,2000000,0.50,5,4097.066,0.990354
traffic_mpi_opt,4,2000000,0.50,5,1747.604,0.990029
traffic_mpi,4,5000000,0.50,5,9278.592,0.991086
traffic_mpi_opt,4,5000000,0.50,5,3596.878,0.989544
traffic_mpi,4,10000000,0.50,5,18514.459,0.990617
traffic_mpi_opt,4,10000000,0.50,5,6628.112,0.989996
traffic_mpi,5,8000,0.50,5,992.092,0.970818
traffic_mpi_opt,5,8000,0.50,5,997.976,0.989035
traffic_mpi,5,64000,0.50,5,967.665,0.993994
traffic_mpi_opt,5,64000,0.50,5,972.589,0.982121
traffic_mpi,5,500000,0.50,5,1321.644,0.991339
traffic_mpi_opt,5,500000,0.50,5,1056.759,0.987838
traffic_mpi,5,2000000,0.50,5,3484.752,0.990588
traffic_mpi_opt,5,2000000,0.50,5,1604.131,0.990381
traffic_mpi,5,5000000,0.50,5,7812.884,0.989681
traffic_mpi_opt,5,5000000,0.50,5,3069.162,0.989900
traffic_mpi,5,10000000,0.50,5,15058.633,0.989709
traffic_mpi_opt,5,10000000,0.50,5,5481.905,0.989255
traffic_mpi,6,8000,0.50,5,979.543,0.980219
traffic_mpi_opt,6,8000,0.50,5,981.646,0.980583
traffic_mpi,6,64000,0.50,5,954.866,0.986634
traffic_mpi_opt,6,64000,0.50,5,970.049,0.983924
traffic_mpi,6,500000,0.50,5,1193.831,0.989494
traffic_mpi_opt,6,500000,0.50,5,1019.631,0.990014
traffic_mpi,6,2000000,0.50,5,2900.181,0.989521
traffic_mpi_opt,6,2000000,0.50,5,1432.454,0.990685
traffic_mpi,6,5000000,0.50,5,6447.137,0.989114
traffic_mpi_opt,6,5000000,0.50,5,2615.946,0.989663
traffic_mpi,6,10000000,0.50,5,11961.140,0.990019
traffic_mpi_opt,6,10000000,0.50,5,4679.423,0.990746
traffic_mpi_opt,2,20000000,0.10,5,25369.343,1.000000
traffic_mpi_opt,2,20000000,0.30,5,25487.579,1.000000
traffic_mpi_opt,2,20000000,0.50,5,25323.974,0.989708
traffic_mpi_opt,2,20000000,0.70,5,25188.400,0.428058
traffic_mpi_opt,2,20000000,0.90,5,25556.018,0.111192
traffic_mpi_opt,3,20000000,0.10,5,17090.840,1.000000
traffic_mpi_opt,3,20000000,0.30,5,17344.084,1.000000
traffic_mpi_opt,3,20000000,0.50,5,17177.981,0.990292
traffic_mpi_opt,3,20000000,0.70,5,17247.139,0.428430
traffic_mpi_opt,3,20000000,0.90,5,17062.283,0.111077
traffic_mpi_opt,4,20000000,0.10,5,12995.980,1.000000
traffic_mpi_opt,4,20000000,0.30,5,12811.492,1.000000
traffic_mpi_opt,4,20000000,0.50,5,12901.248,0.989982
traffic_mpi_opt,4,20000000,0.70,5,12885.101,0.428793
traffic_mpi_opt,4,20000000,0.90,5,13026.389,0.111187
traffic_mpi,2,8000,0.50,6,27.673,0.996186
traffic_mpi_opt,2,8000,0.50,6,10.858,0.946472
traffic_mpi,2,64000,0.50,6,221.328,0.991759
traffic_mpi_opt,2,64000,0.50,6,82.161,0.989411
traffic_mpi,2,500000,0.50,6,1752.484,0.988222
traffic_mpi_opt,2,500000,0.50,6,647.142,0.985435
traffic_mpi,2,2000000,0.50,6,6990.071,0.991667
traffic_mpi_opt,2,2000000,0.50,6,2549.102,0.988475
traffic_mpi,2,5000000,0.50,6,17654.970,0.990050
traffic_mpi_opt,2,5000000,0.50,6,6456.516,0.989828
traffic_mpi,2,10000000,0.50,6,35034.279,0.989724
traffic_mpi_opt,2,10000000,0.50,6,12764.618,0.989215
